chr	start	stop	extra
1	1541673	1574863	"gene_id ""SSU72""; transcript_id """"; db_xref ""GeneID:29101""; db_xref ""HGNC:HGNC:25016""; db_xref ""MIM:617680""; description ""SSU72 homolog, RNA polymerase II CTD phosphatase""; gbkey ""Gene""; gene ""SSU72""; gene_biotype ""protein_coding""; gene_synonym ""HSPC182""; gene_synonym ""PNAS-120""; "
1	1598012	1600135	"gene_id ""FNDC10""; transcript_id """"; db_xref ""GeneID:643988""; db_xref ""HGNC:HGNC:42951""; description ""fibronectin type III domain containing 10""; gbkey ""Gene""; gene ""FNDC10""; gene_biotype ""protein_coding""; gene_synonym ""C1orf233""; "
1	1661478	1692795	"gene_id ""SLC35E2B""; transcript_id """"; db_xref ""GeneID:728661""; db_xref ""HGNC:HGNC:33941""; db_xref ""MIM:619315""; description ""solute carrier family 35 member E2B""; gbkey ""Gene""; gene ""SLC35E2B""; gene_biotype ""protein_coding""; gene_synonym ""SLC35E2""; "
1	1702379	1724357	"gene_id ""CDK11A""; transcript_id """"; db_xref ""GeneID:728642""; db_xref ""HGNC:HGNC:1730""; db_xref ""MIM:116951""; description ""cyclin dependent kinase 11A""; gbkey ""Gene""; gene ""CDK11A""; gene_biotype ""protein_coding""; gene_synonym ""CDC2L2""; gene_synonym ""CDC2L3""; gene_synonym ""CDK11-p110""; gene_synonym ""CDK11-p46""; gene_synonym ""CDK11-p58""; gene_synonym ""p58GTA""; gene_synonym ""PITSLRE""; "
1	1921957	2003786	"gene_id ""CFAP74""; transcript_id """"; db_xref ""GeneID:85452""; db_xref ""HGNC:HGNC:29368""; description ""cilia and flagella associated protein 74""; gbkey ""Gene""; gene ""CFAP74""; gene_biotype ""protein_coding""; gene_synonym ""C1orf222""; gene_synonym ""KIAA1751""; "
1	2321253	2391554	"gene_id ""MORN1""; transcript_id """"; db_xref ""GeneID:79906""; db_xref ""HGNC:HGNC:25852""; description ""MORN repeat containing 1""; gbkey ""Gene""; gene ""MORN1""; gene_biotype ""protein_coding""; "
1	2391841	2405436	"gene_id ""RER1""; transcript_id """"; db_xref ""GeneID:11079""; db_xref ""HGNC:HGNC:30309""; description ""retention in endoplasmic reticulum sorting receptor 1""; gbkey ""Gene""; gene ""RER1""; gene_biotype ""protein_coding""; "
1	2590639	2633016	"gene_id ""MMEL1""; transcript_id """"; db_xref ""GeneID:79258""; db_xref ""HGNC:HGNC:14668""; db_xref ""MIM:618104""; description ""membrane metalloendopeptidase like 1""; gbkey ""Gene""; gene ""MMEL1""; gene_biotype ""protein_coding""; gene_synonym ""MMEL2""; gene_synonym ""NEP2""; gene_synonym ""NEPII""; gene_synonym ""NL1""; gene_synonym ""NL2""; gene_synonym ""SEP""; "
1	2636986	2801693	"gene_id ""TTC34""; transcript_id """"; db_xref ""GeneID:100287898""; db_xref ""HGNC:HGNC:34297""; description ""tetratricopeptide repeat domain 34""; gbkey ""Gene""; gene ""TTC34""; gene_biotype ""protein_coding""; "
1	3021467	3022903	"gene_id ""ACTRT2""; transcript_id """"; db_xref ""GeneID:140625""; db_xref ""HGNC:HGNC:24026""; db_xref ""MIM:608535""; description ""actin related protein T2""; gbkey ""Gene""; gene ""ACTRT2""; gene_biotype ""protein_coding""; gene_synonym ""Arp-T2""; gene_synonym ""ARPM2""; gene_synonym ""ARPT2""; gene_synonym ""HARPM2""; "
1	3069203	3438621	"gene_id ""PRDM16""; transcript_id """"; db_xref ""GeneID:63976""; db_xref ""HGNC:HGNC:14000""; db_xref ""MIM:605557""; description ""PR/SET domain 16""; gbkey ""Gene""; gene ""PRDM16""; gene_biotype ""protein_coding""; gene_synonym ""CMD1LL""; gene_synonym ""KMT8F""; gene_synonym ""LVNC8""; gene_synonym ""MEL1""; gene_synonym ""PFM13""; "
1	3625015	3630127	"gene_id ""TPRG1L""; transcript_id """"; db_xref ""GeneID:127262""; db_xref ""HGNC:HGNC:27007""; db_xref ""MIM:611460""; description ""tumor protein p63 regulated 1 like""; gbkey ""Gene""; gene ""TPRG1L""; gene_biotype ""protein_coding""; gene_synonym ""FAM79A""; gene_synonym ""h-mover""; gene_synonym ""mover""; gene_synonym ""SVAP30""; gene_synonym ""TPRGL""; "
1	3752450	3771645	"gene_id ""CCDC27""; transcript_id """"; db_xref ""GeneID:148870""; db_xref ""HGNC:HGNC:26546""; description ""coiled-coil domain containing 27""; gbkey ""Gene""; gene ""CCDC27""; gene_biotype ""protein_coding""; "
1	3778559	3796498	"gene_id ""LRRC47""; transcript_id """"; db_xref ""GeneID:57470""; db_xref ""HGNC:HGNC:29207""; db_xref ""MIM:619154""; description ""leucine rich repeat containing 47""; gbkey ""Gene""; gene ""LRRC47""; gene_biotype ""protein_coding""; "
1	6101787	6180321	"gene_id ""CHD5""; transcript_id """"; db_xref ""GeneID:26038""; db_xref ""HGNC:HGNC:16816""; db_xref ""MIM:610771""; description ""chromodomain helicase DNA binding protein 5""; gbkey ""Gene""; gene ""CHD5""; gene_biotype ""protein_coding""; gene_synonym ""CHD-5""; "
1	6185020	6199595	"gene_id ""RPL22""; transcript_id """"; db_xref ""GeneID:6146""; db_xref ""HGNC:HGNC:10315""; db_xref ""MIM:180474""; description ""ribosomal protein L22""; gbkey ""Gene""; gene ""RPL22""; gene_biotype ""protein_coding""; gene_synonym ""EAP""; gene_synonym ""HBP15""; gene_synonym ""HBP15/L22""; gene_synonym ""L22""; "
1	6244179	6245578	"gene_id ""HES3""; transcript_id """"; db_xref ""GeneID:390992""; db_xref ""HGNC:HGNC:26226""; db_xref ""MIM:609971""; description ""hes family bHLH transcription factor 3""; gbkey ""Gene""; gene ""HES3""; gene_biotype ""protein_coding""; gene_synonym ""bHLHb43""; "
1	6415232	6419919	"gene_id ""HES2""; transcript_id """"; db_xref ""GeneID:54626""; db_xref ""HGNC:HGNC:16005""; db_xref ""MIM:609970""; description ""hes family bHLH transcription factor 2""; gbkey ""Gene""; gene ""HES2""; gene_biotype ""protein_coding""; gene_synonym ""bHLHb40""; "
1	6460786	6466173	"gene_id ""TNFRSF25""; transcript_id """"; db_xref ""GeneID:8718""; db_xref ""HGNC:HGNC:11910""; db_xref ""MIM:603366""; description ""TNF receptor superfamily member 25""; gbkey ""Gene""; gene ""TNFRSF25""; gene_biotype ""protein_coding""; gene_synonym ""APO-3""; gene_synonym ""DDR3""; gene_synonym ""DR3""; gene_synonym ""GEF720""; gene_synonym ""LARD""; gene_synonym ""PLEKHG5""; gene_synonym ""TNFRSF12""; gene_synonym ""TR3""; gene_synonym ""TRAMP""; gene_synonym ""WSL-1""; gene_synonym ""WSL-LR""; "
1	6466092	6520092	"gene_id ""PLEKHG5""; transcript_id """"; db_xref ""GeneID:57449""; db_xref ""HGNC:HGNC:29105""; db_xref ""MIM:611101""; description ""pleckstrin homology and RhoGEF domain containing G5""; gbkey ""Gene""; gene ""PLEKHG5""; gene_biotype ""protein_coding""; gene_synonym ""CMTRIC""; gene_synonym ""DSMA4""; gene_synonym ""GEF720""; gene_synonym ""Syx""; gene_synonym ""Tech""; "
1	6590724	6602869	"gene_id ""KLHL21""; transcript_id """"; db_xref ""GeneID:9903""; db_xref ""HGNC:HGNC:29041""; db_xref ""MIM:616262""; description ""kelch like family member 21""; gbkey ""Gene""; gene ""KLHL21""; gene_biotype ""protein_coding""; "
1	7771296	7781432	"gene_id ""VAMP3""; transcript_id """"; db_xref ""GeneID:9341""; db_xref ""HGNC:HGNC:12644""; db_xref ""MIM:603657""; description ""vesicle associated membrane protein 3""; gbkey ""Gene""; gene ""VAMP3""; gene_biotype ""protein_coding""; gene_synonym ""CEB""; "
1	8352404	8817640	"gene_id ""RERE""; transcript_id """"; db_xref ""GeneID:473""; db_xref ""HGNC:HGNC:9965""; db_xref ""MIM:605226""; description ""arginine-glutamic acid dipeptide repeats""; gbkey ""Gene""; gene ""RERE""; gene_biotype ""protein_coding""; gene_synonym ""ARG""; gene_synonym ""ARP""; gene_synonym ""ATN1L""; gene_synonym ""DNB1""; gene_synonym ""NEDBEH""; "
1	8494800	8494913	"gene_id ""SNORD128""; transcript_id """"; db_xref ""GeneID:106632271""; db_xref ""HGNC:HGNC:50409""; description ""small nucleolar RNA, C/D box 128""; gbkey ""Gene""; gene ""SNORD128""; gene_biotype ""snoRNA""; gene_synonym ""ZL43""; "
1	8861000	8878686	"gene_id ""ENO1""; transcript_id """"; db_xref ""GeneID:2023""; db_xref ""HGNC:HGNC:3350""; db_xref ""MIM:172430""; description ""enolase 1""; gbkey ""Gene""; gene ""ENO1""; gene_biotype ""protein_coding""; gene_synonym ""ENO1L1""; gene_synonym ""HEL-S-17""; gene_synonym ""MPB1""; gene_synonym ""NNE""; gene_synonym ""PPH""; "
1	9292894	9369532	"gene_id ""SPSB1""; transcript_id """"; db_xref ""GeneID:80176""; db_xref ""HGNC:HGNC:30628""; db_xref ""MIM:611657""; description ""splA/ryanodine receptor domain and SOCS box containing 1""; gbkey ""Gene""; gene ""SPSB1""; gene_biotype ""protein_coding""; gene_synonym ""SSB-1""; gene_synonym ""SSB1""; "
1	9539465	9585173	"gene_id ""SLC25A33""; transcript_id """"; db_xref ""GeneID:84275""; db_xref ""HGNC:HGNC:29681""; db_xref ""MIM:610816""; description ""solute carrier family 25 member 33""; gbkey ""Gene""; gene ""SLC25A33""; gene_biotype ""protein_coding""; gene_synonym ""BMSC-MCP""; gene_synonym ""PNC1""; "
1	9997228	10016021	"gene_id ""RBP7""; transcript_id """"; db_xref ""GeneID:116362""; db_xref ""HGNC:HGNC:30316""; db_xref ""MIM:608604""; description ""retinol binding protein 7""; gbkey ""Gene""; gene ""RBP7""; gene_biotype ""protein_coding""; gene_synonym ""CRABP4""; gene_synonym ""CRBP4""; gene_synonym ""CRBPIV""; "
1	10210570	10381603	"gene_id ""KIF1B""; transcript_id """"; db_xref ""GeneID:23095""; db_xref ""HGNC:HGNC:16636""; db_xref ""MIM:605995""; description ""kinesin family member 1B""; gbkey ""Gene""; gene ""KIF1B""; gene_biotype ""protein_coding""; gene_synonym ""CMT2""; gene_synonym ""CMT2A""; gene_synonym ""CMT2A1""; gene_synonym ""HMSNII""; gene_synonym ""KLP""; gene_synonym ""NBLST1""; "
1	10399064	10420511	"gene_id ""PGD""; transcript_id """"; db_xref ""GeneID:5226""; db_xref ""HGNC:HGNC:8891""; db_xref ""MIM:172200""; description ""phosphogluconate dehydrogenase""; gbkey ""Gene""; gene ""PGD""; gene_biotype ""protein_coding""; gene_synonym ""6PGD""; "
1	10430433	10452153	"gene_id ""CENPS-CORT""; transcript_id """"; db_xref ""GeneID:100526739""; db_xref ""HGNC:HGNC:38843""; description ""CENPS-CORT readthrough""; gbkey ""Gene""; gene ""CENPS-CORT""; gene_biotype ""protein_coding""; gene_synonym ""APITD1""; gene_synonym ""APITD1-CORT""; gene_synonym ""CENP-S""; gene_synonym ""CENPS""; gene_synonym ""FAAP16""; gene_synonym ""MHF1""; "
1	10430433	10442808	"gene_id ""CENPS""; transcript_id """"; db_xref ""GeneID:378708""; db_xref ""HGNC:HGNC:23163""; db_xref ""MIM:609130""; description ""centromere protein S""; gbkey ""Gene""; gene ""CENPS""; gene_biotype ""protein_coding""; gene_synonym ""APITD1""; gene_synonym ""CENP-S""; gene_synonym ""FAAP16""; gene_synonym ""MHF1""; "
1	10450031	10451998	"gene_id ""CORT""; transcript_id """"; db_xref ""GeneID:1325""; db_xref ""HGNC:HGNC:2257""; db_xref ""MIM:602784""; description ""cortistatin""; gbkey ""Gene""; gene ""CORT""; gene_biotype ""protein_coding""; gene_synonym ""CST-14""; gene_synonym ""CST-17""; gene_synonym ""CST-29""; gene_synonym ""SST2""; "
1	10456522	10472529	"gene_id ""DFFA""; transcript_id """"; db_xref ""GeneID:1676""; db_xref ""HGNC:HGNC:2772""; db_xref ""MIM:601882""; description ""DNA fragmentation factor subunit alpha""; gbkey ""Gene""; gene ""DFFA""; gene_biotype ""protein_coding""; gene_synonym ""DFF-45""; gene_synonym ""DFF1""; gene_synonym ""ICAD""; "
1	11054589	11060018	"gene_id ""SRM""; transcript_id """"; db_xref ""GeneID:6723""; db_xref ""HGNC:HGNC:11296""; db_xref ""MIM:182891""; description ""spermidine synthase""; gbkey ""Gene""; gene ""SRM""; gene_biotype ""protein_coding""; gene_synonym ""PAPT""; gene_synonym ""SPDSY""; gene_synonym ""SPS1""; gene_synonym ""SRML1""; "
1	11648387	11654429	"gene_id ""FBXO2""; transcript_id """"; db_xref ""GeneID:26232""; db_xref ""HGNC:HGNC:13581""; db_xref ""MIM:607112""; description ""F-box protein 2""; gbkey ""Gene""; gene ""FBXO2""; gene_biotype ""protein_coding""; gene_synonym ""FBG1""; gene_synonym ""Fbs1""; gene_synonym ""FBX2""; gene_synonym ""NFB42""; gene_synonym ""OCP1""; "
1	11806191	11843130	"gene_id ""CLCN6""; transcript_id """"; db_xref ""GeneID:1185""; db_xref ""HGNC:HGNC:2024""; db_xref ""MIM:602726""; description ""chloride voltage-gated channel 6""; gbkey ""Gene""; gene ""CLCN6""; gene_biotype ""protein_coding""; gene_synonym ""CLC-6""; gene_synonym ""CONRIBA""; "
1	11840319	11847616	"gene_id ""NPPA-AS1""; transcript_id """"; db_xref ""GeneID:100379251""; db_xref ""HGNC:HGNC:37635""; description ""NPPA antisense RNA 1""; gbkey ""Gene""; gene ""NPPA-AS1""; gene_biotype ""antisense_RNA""; gene_synonym ""NPPA-AS""; gene_synonym ""NPPAAS""; "
1	11845709	11847783	"gene_id ""NPPA""; transcript_id """"; db_xref ""GeneID:4878""; db_xref ""HGNC:HGNC:7939""; db_xref ""MIM:108780""; description ""natriuretic peptide A""; gbkey ""Gene""; gene ""NPPA""; gene_biotype ""protein_coding""; gene_synonym ""ANF""; gene_synonym ""ANP""; gene_synonym ""ATFB6""; gene_synonym ""ATRST2""; gene_synonym ""CDD""; gene_synonym ""CDD-ANF""; gene_synonym ""CDP""; gene_synonym ""PND""; "
1	11857464	11858945	"gene_id ""NPPB""; transcript_id """"; db_xref ""GeneID:4879""; db_xref ""HGNC:HGNC:7940""; db_xref ""MIM:600295""; description ""natriuretic peptide B""; gbkey ""Gene""; gene ""NPPB""; gene_biotype ""protein_coding""; gene_synonym ""BNP""; gene_synonym ""Iso-ANP""; "
1	11908154	11908272	"gene_id ""RNU5E-1""; transcript_id """"; db_xref ""GeneID:26829""; db_xref ""HGNC:HGNC:10215""; description ""RNA, U5E small nuclear 1""; gbkey ""Gene""; gene ""RNU5E-1""; gene_biotype ""snRNA""; gene_synonym ""RNU5E""; gene_synonym ""U5E""; "
1	11919591	11926427	"gene_id ""KIAA2013""; transcript_id """"; db_xref ""GeneID:90231""; db_xref ""HGNC:HGNC:28513""; description ""KIAA2013""; gbkey ""Gene""; gene ""KIAA2013""; gene_biotype ""protein_coding""; "
1	11934717	11975537	"gene_id ""PLOD1""; transcript_id """"; db_xref ""GeneID:5351""; db_xref ""HGNC:HGNC:9081""; db_xref ""MIM:153454""; description ""procollagen-lysine,2-oxoglutarate 5-dioxygenase 1""; gbkey ""Gene""; gene ""PLOD1""; gene_biotype ""protein_coding""; gene_synonym ""EDS6""; gene_synonym ""EDSKCL1""; gene_synonym ""LH""; gene_synonym ""LH1""; gene_synonym ""LLH""; gene_synonym ""PLOD""; "
1	12230030	12512047	"gene_id ""VPS13D""; transcript_id """"; db_xref ""GeneID:55187""; db_xref ""HGNC:HGNC:23595""; db_xref ""MIM:608877""; description ""vacuolar protein sorting 13 homolog D""; gbkey ""Gene""; gene ""VPS13D""; gene_biotype ""protein_coding""; gene_synonym ""SCAR4""; "
1	12507246	12507397	"gene_id ""SNORA59A""; transcript_id """"; db_xref ""GeneID:677885""; db_xref ""HGNC:HGNC:32653""; description ""small nucleolar RNA, H/ACA box 59A""; gbkey ""Gene""; gene ""SNORA59A""; gene_biotype ""snoRNA""; gene_synonym ""ACA59""; "
1	12716110	12728760	"gene_id ""AADACL3""; transcript_id """"; db_xref ""GeneID:126767""; db_xref ""HGNC:HGNC:32037""; description ""arylacetamide deacetylase like 3""; gbkey ""Gene""; gene ""AADACL3""; gene_biotype ""protein_coding""; "
1	12746200	12763699	"gene_id ""CFAP107""; transcript_id """"; db_xref ""GeneID:93190""; db_xref ""HGNC:HGNC:28567""; description ""cilia and flagella associated protein 107""; gbkey ""Gene""; gene ""CFAP107""; gene_biotype ""protein_coding""; gene_synonym ""C1orf158""; "
1	12773738	12777906	"gene_id ""PRAMEF12""; transcript_id """"; db_xref ""GeneID:390999""; db_xref ""HGNC:HGNC:22125""; description ""PRAME family member 12""; gbkey ""Gene""; gene ""PRAMEF12""; gene_biotype ""protein_coding""; "
1	12791397	12796628	"gene_id ""PRAMEF1""; transcript_id """"; db_xref ""GeneID:65121""; db_xref ""HGNC:HGNC:28840""; description ""PRAME family member 1""; gbkey ""Gene""; gene ""PRAMEF1""; gene_biotype ""protein_coding""; "
1	12847377	12848720	"gene_id ""HNRNPCL1""; transcript_id """"; db_xref ""GeneID:343069""; db_xref ""HGNC:HGNC:29295""; description ""heterogeneous nuclear ribonucleoprotein C like 1""; gbkey ""Gene""; gene ""HNRNPCL1""; gene_biotype ""protein_coding""; gene_synonym ""HNRPCL1""; "
1	12879212	12886201	"gene_id ""PRAMEF4""; transcript_id """"; db_xref ""GeneID:400735""; db_xref ""HGNC:HGNC:31971""; description ""PRAME family member 4""; gbkey ""Gene""; gene ""PRAMEF4""; gene_biotype ""protein_coding""; "
1	12892896	12898270	"gene_id ""PRAMEF10""; transcript_id """"; db_xref ""GeneID:343071""; db_xref ""HGNC:HGNC:27997""; description ""PRAME family member 10""; gbkey ""Gene""; gene ""PRAMEF10""; gene_biotype ""protein_coding""; "
1	12916610	12920751	"gene_id ""PRAMEF7""; transcript_id """"; db_xref ""GeneID:441871""; db_xref ""HGNC:HGNC:28415""; description ""PRAME family member 7""; gbkey ""Gene""; gene ""PRAMEF7""; gene_biotype ""protein_coding""; "
1	12938472	12947580	"gene_id ""PRAMEF6""; transcript_id """"; db_xref ""GeneID:440561""; db_xref ""HGNC:HGNC:30583""; description ""PRAME family member 6""; gbkey ""Gene""; gene ""PRAMEF6""; gene_biotype ""protein_coding""; "
1	13049476	13056575	"gene_id ""PRAMEF27""; transcript_id """"; db_xref ""GeneID:101929983""; db_xref ""HGNC:HGNC:51234""; description ""PRAME family member 27""; gbkey ""Gene""; gene ""PRAMEF27""; gene_biotype ""protein_coding""; "
1	13060769	13062878	"gene_id ""HNRNPCL3""; transcript_id """"; db_xref ""GeneID:649330""; db_xref ""HGNC:HGNC:51235""; description ""heterogeneous nuclear ribonucleoprotein C like 3""; gbkey ""Gene""; gene ""HNRNPCL3""; gene_biotype ""protein_coding""; gene_synonym ""HNRNPCL2""; gene_synonym ""HNRNPCL4""; "
1	13070774	13077884	"gene_id ""PRAMEF25""; transcript_id """"; db_xref ""GeneID:441873""; db_xref ""HGNC:HGNC:49179""; description ""PRAME family member 25""; gbkey ""Gene""; gene ""PRAMEF25""; gene_biotype ""protein_coding""; "
1	13115488	13116854	"gene_id ""HNRNPCL2""; transcript_id """"; db_xref ""GeneID:440563""; db_xref ""HGNC:HGNC:48813""; description ""heterogeneous nuclear ribonucleoprotein C like 2""; gbkey ""Gene""; gene ""HNRNPCL2""; gene_biotype ""protein_coding""; gene_synonym ""HNRNPCP5""; "
1	13148907	13156009	"gene_id ""PRAMEF26""; transcript_id """"; db_xref ""GeneID:645359""; db_xref ""HGNC:HGNC:49178""; description ""PRAME family member 26""; gbkey ""Gene""; gene ""PRAMEF26""; gene_biotype ""protein_coding""; gene_synonym ""PRAMEF25""; "
1	13163914	13165631	"gene_id ""HNRNPCL4""; transcript_id """"; db_xref ""GeneID:101060301""; db_xref ""HGNC:HGNC:51333""; description ""heterogeneous nuclear ribonucleoprotein C like 4""; gbkey ""Gene""; gene ""HNRNPCL4""; gene_biotype ""protein_coding""; gene_synonym ""HNRNPCL3""; "
1	13171848	13179459	"gene_id ""PRAMEF9""; transcript_id """"; db_xref ""GeneID:343070""; db_xref ""HGNC:HGNC:27996""; description ""PRAME family member 9""; gbkey ""Gene""; gene ""PRAMEF9""; gene_biotype ""protein_coding""; "
1	13222695	13226154	"gene_id ""PRAMEF18""; transcript_id """"; db_xref ""GeneID:391003""; db_xref ""HGNC:HGNC:30693""; description ""PRAME family member 18""; gbkey ""Gene""; gene ""PRAMEF18""; gene_biotype ""protein_coding""; "
1	13254198	13263435	"gene_id ""PRAMEF5""; transcript_id """"; db_xref ""GeneID:343068""; db_xref ""HGNC:HGNC:27995""; description ""PRAME family member 5""; gbkey ""Gene""; gene ""PRAMEF5""; gene_biotype ""protein_coding""; gene_synonym ""PRAMEF23""; gene_synonym ""PRAMEF5L""; "
1	13303539	13308907	"gene_id ""PRAMEF33""; transcript_id """"; db_xref ""GeneID:645382""; db_xref ""HGNC:HGNC:49193""; description ""PRAME family member 33""; gbkey ""Gene""; gene ""PRAMEF33""; gene_biotype ""protein_coding""; gene_synonym ""PRAMEF33P""; "
1	13315581	13322598	"gene_id ""PRAMEF15""; transcript_id """"; db_xref ""GeneID:653619""; db_xref ""HGNC:HGNC:26764""; description ""PRAME family member 15""; gbkey ""Gene""; gene ""PRAMEF15""; gene_biotype ""protein_coding""; "
1	13341892	13347134	"gene_id ""PRAMEF14""; transcript_id """"; db_xref ""GeneID:729528""; db_xref ""HGNC:HGNC:13576""; description ""PRAME family member 14""; gbkey ""Gene""; gene ""PRAMEF14""; gene_biotype ""protein_coding""; "
1	13368431	13371947	"gene_id ""PRAMEF19""; transcript_id """"; db_xref ""GeneID:645414""; db_xref ""HGNC:HGNC:24908""; description ""PRAME family member 19""; gbkey ""Gene""; gene ""PRAMEF19""; gene_biotype ""protein_coding""; "
1	13389632	13392629	"gene_id ""PRAMEF17""; transcript_id """"; db_xref ""GeneID:391004""; db_xref ""HGNC:HGNC:29485""; description ""PRAME family member 17""; gbkey ""Gene""; gene ""PRAMEF17""; gene_biotype ""protein_coding""; "
1	13410450	13421328	"gene_id ""PRAMEF20""; transcript_id """"; db_xref ""GeneID:645425""; db_xref ""HGNC:HGNC:25224""; description ""PRAME family member 20""; gbkey ""Gene""; gene ""PRAMEF20""; gene_biotype ""protein_coding""; gene_synonym ""PRAMEF21""; "
